sample_size,trial,grid_information_error
1600,17,0.0054052521516055885
1600,18,0.0051114918316464975
1600,19,0.004582259714115217
1600,20,0.003508017914525624
1600,21,0.008588125741147895
1600,22,0.004658669550082345
1600,23,0.0011206449585614564
1600,24,0.003758456292571155
1600,25,0.007863613625779337
1600,26,0.0022036582369465707
1600,27,0.0013156237440526686
1600,28,0.005166790860122061
1600,29,0.0020873975243031195
1600,30,0.00638817973233366
1600,31,0.002487408660989149
1600,32,0.004835143713381812
1600,33,0.007057119089220881
1600,34,0.00493671757353864
1600,35,0.0027796920452429763
1600,36,0.005772427026103144
1600,37,0.005127327439063245
1600,38,0.0057622270135631315
1600,39,0.002797867875136084
1600,40,0.0012663238300116009
1600,41,0.005485621930162526
1600,42,0.0050072250214790726
1600,43,0.005130455540471673
1600,44,0.0012024548827681003
1600,45,0.001136775333052814
1600,46,0.0012923407176519408
1600,47,0.0007335567334184889
1600,48,0.0014756297007325059
1600,49,0.0015905128457943396
1600,50,0.005678072124635586
1600,51,0.007270572205615805
1600,52,0.0030027758438209706
1600,53,0.003219292742312335
1600,54,0.003066833951637926
1600,55,0.002650677440611704
1600,56,0.001746296690054383
1600,57,0.0018901533805427695
1600,58,0.003352481724363976
1600,59,0.0073850872451620975
1600,60,0.007183675778828724
1600,61,0.002094184993420567
1600,62,0.0013235033037218846
1600,63,0.00287546437359007
1600,64,0.007359391045246105
1600,65,0.00442464370124529
1600,66,0.002427024938477601
1600,67,0.0016856039331601125
1600,68,0.002402165735083117
1600,69,0.004265409735482728
1600,70,0.002145744224003765
1600,71,0.001441929727356378
1600,72,0.003755645857995149
1600,73,0.0038438691512417966
1600,74,0.0009788353911545644
1600,75,0.0036178306588689757
1600,76,0.003146996765463622
1600,77,0.0024653611251027885
1600,78,0.004719590545917252
1600,79,0.005206215413763829
1600,80,0.003805691916553472
1600,81,0.004140101273960167
1600,82,0.004424870214316701
1600,83,0.003126713718957397
1600,84,0.004478032852464953
1600,85,0.003948708483479169
1600,86,0.0010071179378115247
1600,87,0.0028806193530627466
1600,88,0.0053032621004764635
1600,89,0.001497993336365383
1600,90,0.0033563754558191827
1600,91,0.007539756304678957
1600,92,0.002711182320359856
1600,93,0.004109344553110322
1600,94,0.003140256392526436
1600,95,0.004818105550309426
1600,96,0.007277140728789988
1600,97,0.002112929484231113
1600,98,0.004273332999577217
1600,99,0.002680573197238245
1600,100,0.0030979102677137493
1600,101,0.0053586739910113645
1600,102,0.006965961063915338
1600,103,0.004935913659679936
1600,104,0.00258119025455375
1600,105,0.0035081568913010036
1600,106,0.0017997288241604348
1600,107,0.003476246280614742
1600,108,0.004343894973048018
1600,109,0.0015898201606260043
1600,110,0.005235531505406427
1600,111,0.004792743451522613
1600,112,0.0019784975701599428
1600,113,0.004075953387674164
1600,114,0.0038563143298665503
1600,115,0.003174314496389899
1600,116,0.0018970477114976514
1600,117,0.0018367438128337465
1600,118,0.0025937308140950854
1600,119,0.006655674849399051
1600,120,0.0017257973988420716
1600,121,0.004058403833731475
1600,122,0.003908508353638401
1600,123,0.0029911421360627466
1600,124,0.004010592325113832
1600,125,0.0016889095888471262
1600,126,0.00408697006800704
1600,127,0.0077102615530826035
1600,128,0.0026169032651702784
1600,129,0.005668332187690861
1600,130,0.004617818890587988
1600,131,0.002205162840712205
1600,132,0.0055275430146220494
1600,133,0.005799369964149648
1600,134,0.005418306294732306
1600,135,0.0051959132506565475
1600,136,0.007811732383992215
1600,137,0.003421735804478715
1600,138,0.005064669648912418
1600,139,0.002166875931212092
1600,140,0.005171222094582373
1600,141,0.0019709879114755413
1600,142,0.002467962092688847
1600,143,0.002188280946841731
1600,144,0.005491491104797949
1600,145,0.0044182984866739106
1600,146,0.0018261762274534576
1600,147,0.0022113869811634934
1600,148,0.005468746923290552
1600,149,0.002678921258382483
1600,150,0.005677698906034312
1600,151,0.000994136617337854
1600,152,0.0005573146647393779
1600,153,0.00717177989185204
1600,154,0.004764886980906102
1600,155,0.002073462039079349
1600,156,0.005011273119127621
1600,157,0.0034310943444130076
1600,158,0.005830330888481811
1600,159,0.007242726082515499
1600,160,0.0015960993529065826
1600,161,0.0025839584662128434
1600,162,0.0022977654628428823
1600,163,0.003685316147731321
1600,164,0.002020149793471343
1600,165,0.0019361775412042037
1600,166,0.0011763508923308408
1600,167,0.005732023375967621
1600,168,0.0010057257080400284
1600,169,0.009065959406314855
1600,170,0.00035303801349298447
1600,171,0.0024555828239248567
1600,172,0.003334446386881018
1600,173,0.0018677455909959506
1600,174,0.005655546308463016
1600,175,0.0034343626657379334
1600,176,0.007644030387450734
1600,177,0.008700932549905449
1600,178,0.0022262732423452003
1600,179,0.0026864246290084215
1600,180,0.0077469625580437185
1600,181,0.009436559195728889
1600,182,0.005798251322171655
1600,183,0.005966766221915276
1600,184,0.0025217235924213655
1600,185,0.0045541110879616375
1600,186,0.0038127223227265583
1600,187,0.0024921720455051144
1600,188,0.002359558221369823
1600,189,0.004842948706203221
1600,190,0.003722072838377999
1600,191,0.005708380795155066
1600,192,0.0014206319017195101
1600,193,0.006443294936425925
1600,194,0.0052851286860818025
1600,195,0.0021896386766104003
1600,196,0.0015773846448627893
1600,197,0.0027222110018872703
1600,198,0.0037055916557764135
1600,199,0.0017832393786922085
6400,0,0.0013584847058201177
6400,1,0.002004099648006269
6400,2,0.000825447902391585
6400,3,0.0005346756271485675
6400,4,0.0025273527908552806
6400,5,0.002896959679250022
6400,6,0.003939452992741399
6400,7,0.001955802338042406
6400,8,0.0006480586308379999
6400,9,0.00238600097183167
6400,10,0.0023217970747131667
6400,11,0.0021459797567968952
6400,12,0.0018162747581105254
6400,13,0.0006967428258899677
6400,14,0.003530033215668693
6400,15,0.0014316889471213956
6400,16,0.0016716068648542082
6400,17,0.0010460390464193947
6400,18,0.001621809816316544
6400,19,0.0024279598142988856
6400,20,0.0006010388531498545
6400,21,0.0018787215366706522
6400,22,0.00267633537746384
6400,23,0.0014707816613057922
6400,24,0.0010355031249991153
