phi,theta,m2,information
0.0,1.387536755335492,0.46789310318467436,0.17726828375825177
0.0,1.3919000784654778,0.4693386975278466,0.17709037619212087
0.0,1.3962634015954636,0.4707555553898721,0.17691588224967347
0.0,1.4006267247254494,0.4721432451821215,0.17674486237881587
0.0,1.4049900478554354,0.47350134420084034,0.17657737594361603
0.0,1.4093533709854211,0.47482943875591166,0.17641348119660027
0.0,1.413716694115407,0.47612712429686843,0.17625323525140418
0.0,1.4180800172453927,0.4773940055361239,0.1760966940557996
0.0,1.4224433403753787,0.47862969656938026,0.1759439123651208
0.0,1.4268066635053644,0.47983382099317795,0.17579494371611082
0.0,1.4311699866353502,0.4810060120195534,0.175649840401211
0.0,1.435533309765336,0.48214591258776396,0.1755086534433148
0.0,1.4398966328953218,0.4832531754730548,0.17537143257100832
0.0,1.4442599560253078,0.4843274633924245,0.1752382261943179
0.0,1.4486232791552935,0.485368449107366,0.17510908138098746
0.0,1.4529866022852793,0.4863758155235459,0.1749840438333046
0.0,1.457349925415265,0.48734925578739585,0.1748631578654984
0.0,1.461713248545251,0.48828847337958137,0.17474646638172658
0.0,1.4660765716752369,0.48919318220532504,0.1746340108546741
0.0,1.4704398948052226,0.49006310668155506,0.17452583130478147
0.0,1.4748032179352084,0.49089798182084854,0.17442196628012174
0.0,1.4791665410651942,0.49169755331215026,0.17432245283694572
0.0,1.4835298641951802,0.4924615775982386,0.1742273265209122
0.0,1.487893187325166,0.49318982194991456,0.17413662134902172
0.0,1.4922565104551517,0.4938820645368942,0.17405036979227004
0.0,1.4966198335851375,0.49453809449537955,0.17396860275903867
0.0,1.5009831567151235,0.49515771199229,0.17389134957923708
0.0,1.5053464798451093,0.49574072828613347,0.17381863798921265
0.0,1.509709802975095,0.4962869657844995,0.1737504941174424
0.0,1.5140731261050808,0.4967962580981543,0.17368694247102023
0.0,1.5184364492350666,0.4972684500917256,0.17362800592295324
0.0,1.5227997723650526,0.49770339793095797,0.17357370570027844
0.0,1.5271630954950384,0.4981009691265261,0.1735240613730129
0.0,1.5315264186250241,0.49846104257439217,0.17347909084394642
0.0,1.53588974175501,0.4987835085926964,0.1734388103392886
0.0,1.540253064884996,0.4990682689551651,0.17340323440017766
0.0,1.5446163880149817,0.4993152369210341,0.173372375875061
0.0,1.5489797111449675,0.4995243372614683,0.17334624591295364
0.0,1.5533430342749532,0.49969550628247805,0.1733248539575824
0.0,1.557706357404939,0.49982869184432166,0.17330820774242084
0.0,1.562069680534925,0.499923853377387,0.17329631328662043
0.0,1.5664330036649108,0.4999809618945489,0.17328917489184123
0.0,1.5707963267948966,0.5,0.17328679513998632
0.0,1.5751596499248823,0.4999809618945489,0.17328917489184123
0.0,1.5795229730548683,0.499923853377387,0.17329631328662043
0.0,1.583886296184854,0.49982869184432166,0.17330820774242084
0.0,1.5882496193148399,0.49969550628247805,0.17332485395758238
0.0,1.5926129424448257,0.4995243372614683,0.17334624591295364
0.0,1.5969762655748114,0.4993152369210341,0.173372375875061
0.0,1.6013395887047974,0.4990682689551651,0.17340323440017769
0.0,1.6057029118347832,0.4987835085926964,0.1734388103392886
0.0,1.610066234964769,0.49846104257439217,0.17347909084394642
0.0,1.6144295580947547,0.4981009691265261,0.1735240613730129
0.0,1.6187928812247407,0.49770339793095797,0.17357370570027844
0.0,1.6231562043547265,0.4972684500917256,0.17362800592295324
0.0,1.6275195274847123,0.4967962580981543,0.17368694247102023
0.0,1.631882850614698,0.4962869657844995,0.1737504941174424
0.0,1.6362461737446838,0.49574072828613347,0.17381863798921265
0.0,1.6406094968746698,0.49515771199228975,0.17389134957923708
0.0,1.6449728200046556,0.49453809449537955,0.17396860275903864
0.0,1.6493361431346414,0.4938820645368942,0.17405036979227
0.0,1.6536994662646272,0.49318982194991456,0.17413662134902172
0.0,1.6580627893946132,0.4924615775982386,0.1742273265209122
0.0,1.662426112524599,0.49169755331215026,0.17432245283694572
0.0,1.6667894356545847,0.49089798182084854,0.17442196628012174
0.0,1.6711527587845705,0.49006310668155506,0.17452583130478147
0.0,1.6755160819145565,0.48919318220532504,0.1746340108546741
0.0,1.6798794050445423,0.48828847337958137,0.17474646638172658
0.0,1.684242728174528,0.48734925578739585,0.1748631578654984
0.0,1.6886060513045138,0.4863758155235459,0.1749840438333046
0.0,1.6929693744344996,0.485368449107366,0.17510908138098744
0.0,1.6973326975644856,0.4843274633924245,0.17523822619431792
0.0,1.7016960206944713,0.4832531754730548,0.1753714325710083
0.0,1.7060593438244571,0.48214591258776396,0.1755086534433148
0.0,1.710422666954443,0.4810060120195534,0.175649840401211
0.0,1.714785990084429,0.47983382099317795,0.17579494371611085
0.0,1.7191493132144147,0.47862969656938026,0.1759439123651208
0.0,1.7235126363444004,0.4773940055361239,0.1760966940557996
0.0,1.7278759594743862,0.47612712429686843,0.17625323525140418
0.0,1.732239282604372,0.4748294387559116,0.17641348119660027
0.0,1.736602605734358,0.47350134420084034,0.17657737594361603
0.0,1.7409659288643438,0.4721432451821215,0.17674486237881584
0.0,1.7453292519943295,0.4707555553898721,0.17691588224967347
0.0,1.7496925751243153,0.4693386975278466,0.17709037619212087
0.0,1.7540558982543013,0.46789310318467414,0.17726828375825177
0.0,1.758419221384287,0.4664192127023962,0.1774495434443565
0.0,1.7627825445142729,0.4649174750423314,0.17763409271926667
0.0,1.7671458676442586,0.4633883476483184,0.1778218680529868
0.0,1.7715091907742444,0.46183229630737466,0.17801280494559107
0.0,1.7758725139042304,0.46024979500781227,0.1782068379563625
0.0,1.7802358370342162,0.45864132579485717,0.1784039007331531
0.0,1.784599160164202,0.45700737862381346,0.17860392604194292
0.0,1.7889624832941877,0.45534845121081746,0.178806845796576
0.0,1.7933258064241737,0.4536650488812296,0.17901259108865158
0.0,1.7976891295541595,0.4519576844157073,0.17922109221755
0.0,1.8020524526841453,0.45022687789400606,0.17943227872057144
0.0,1.806415775814131,0.44847315653655906,0.17964607940316651
0.0,1.8107790989441168,0.44669705454388076,0.17986242236923927
0.0,1.8151424220741028,0.4448991129338434,0.18008123505150084
0.0,1.8195057452040886,0.4430798793768784,0.18030244424185493
0.0,1.8238690683340744,0.4412399080291506,0.18052597612179544
0.0,1.8282323914640601,0.43937975936375684,0.18075175629279622
0.0,1.8325957145940461,0.4374999999999999,0.18097970980667474
0.0,1.836959037724032,0.43560120253079204,0.1812097611959117
0.0,1.8413223608540177,0.4336839453482363,0.18144183450390716
0.0,1.8456856839840035,0.43174881246744334,0.18167585331515687
0.0,1.8500490071139892,0.42979639334863473,0.18191174078533093
0.0,1.8544123302439752,0.4278272827175873,0.18214941967123838
0.0,1.858775653373961,0.425842080384475,0.18238881236066107
0.0,1.8631389765039468,0.42384139106115915,0.18262984090204143
0.0,1.8675022996339325,0.4218258241769891,0.18287242703400863
0.0,1.8718656227639185,0.41979599369316256,0.18311649221472817
0.0,1.8762289458939043,0.41775251791570867,0.1833619576510607
0.0,1.88059226902389,0.4156960193071446,0.18360874432751653
0.0,1.8849555921538759,0.4136271242968683,0.1838567730349915
0.0,1.8893189152838616,0.41154646309034215,0.18410596439927304
0.0,1.8936822384138476,0.40945466947712494,0.18435623890930203
0.0,1.8980455615438334,0.4073523806378151,0.18460751694518057
0.0,1.9024088846738192,0.4052402369499585,0.18485971880591354
0.0,1.906772207803805,0.40311888179298305,0.18511276473687271
0.0,1.911135530933791,0.40098896135221984,0.18536657495697437
0.0,1.9154988540637767,0.39885112442206816,0.18562106968555933
0.0,1.9198621771937625,0.39670602220836615,0.18587616916896746
0.0,1.9242255003237483,0.3945543081300289,0.18613179370679722
0.0,1.928588823453734,0.3923966376200082,0.186387863677842
0.0,1.93295214658372,0.3902336679256433,0.186644299565696
0.0,1.9373154697137058,0.3880660579084567,0.1869010219840224
0.0,1.9416787928436916,0.3858944678434574,0.18715795170147642
0.0,1.9460421159736774,0.3837195592180157,0.18741500966627858
0.0,1.9504054391036634,0.38154199453036786,0.18767211703043035
0.0,1.9547687622336491,0.3793624370878125,0.1879291951735692
0.0,1.959132085363635,0.3771815508046604,0.18818616572645652
0.0,1.9634954084936207,0.375,0.18844295059409502
0.0,1.9678587316236065,0.3728184491953396,0.18869947197847142
0.0,1.9722220547535925,0.3706375629121873,0.18895565240092133
0.0,1.9765853778835782,0.36845800546963203,0.18921141472411274
